Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
QC59	QC59	QC	QC	2	QC	QC_QC
QC60	QC60	QC	QC	2	QC	QC_QC
QC61	QC61	QC	QC	2	QC	QC_QC
QC62	QC62	QC	QC	2	QC	QC_QC
QC63	QC63	QC	QC	2	QC	QC_QC
QC64	QC64	QC	QC	2	QC	QC_QC
QC65	QC65	QC	QC	2	QC	QC_QC
QC66	QC66	QC	QC	2	QC	QC_QC
QC67	QC67	QC	QC	2	QC	QC_QC
QC68	QC68	QC	QC	2	QC	QC_QC
QC69	QC69	QC	QC	2	QC	QC_QC
QC70	QC70	QC	QC	2	QC	QC_QC
QC71	QC71	QC	QC	2	QC	QC_QC
QC72	QC72	QC	QC	2	QC	QC_QC
QC73	QC73	QC	QC	2	QC	QC_QC
QC74	QC74	QC	QC	2	QC	QC_QC
QC75	QC75	QC	QC	2	QC	QC_QC
QC76	QC76	QC	QC	2	QC	QC_QC
QC77	QC77	QC	QC	2	QC	QC_QC
QC78	QC78	QC	QC	2	QC	QC_QC
QC79	QC79	QC	QC	2	QC	QC_QC
QC80	QC80	QC	QC	2	QC	QC_QC
QC81	QC81	QC	QC	2	QC	QC_QC
QC82	QC82	QC	QC	2	QC	QC_QC
QC83	QC83	QC	QC	2	QC	QC_QC
QC84	QC84	QC	QC	2	QC	QC_QC
QC85	QC85	QC	QC	2	QC	QC_QC
QC86	QC86	QC	QC	2	QC	QC_QC
QC87	QC87	QC	QC	2	QC	QC_QC
QC88	QC88	QC	QC	2	QC	QC_QC
QC89	QC89	QC	QC	2	QC	QC_QC
QC90	QC90	QC	QC	2	QC	QC_QC
QC91	QC91	QC	QC	2	QC	QC_QC
QC92	QC92	QC	QC	2	QC	QC_QC
QC93	QC93	QC	QC	2	QC	QC_QC
QC94	QC94	QC	QC	2	QC	QC_QC
QC95	QC95	QC	QC	2	QC	QC_QC
QC96	QC96	QC	QC	2	QC	QC_QC
QC97	QC97	QC	QC	2	QC	QC_QC
QC98	QC98	QC	QC	2	QC	QC_QC
QC99	QC99	QC	QC	2	QC	QC_QC
